index,actual,predict,target
0,average temperature in miami in february,february me miami me average temperature <EOS>,february me miami me average temperature
1,delete my alarm for friday afternoon,friday dopahar ke liye mera alarm delete kare <EOS>,friday dopahar ke liye mera alarm delete kare
2,i want to hear sunny 100 on iheartradio,mai iheartradio par sunny 100 sunna chahta hoon <EOS>,mai iheartradio par sunny 100 sunna chahta hu
3,what is the worst time to commute to nyc,nyc ke liye sabse kharab time kya hai <EOS>,nyc ke liye sabse kharab time kya hai
4,show all reminders for work,work ke liye sabhi reminders ko dikhao <EOS>,work ke liye sabhi reminders ko dikhao
5,put 3 minutes on the timer  .,timer par 3 minutes set kare <EOS>,timer par 3 minutes set kare
6,i need to hear lullabies,mujhe lullabies sunna hai <EOS>,mujhe lullabies sunna hai
7,is it going to be windy tomorrow  ?,kya kal windy hone wala he  ? <EOS>,kya kal windy hone wala he  ?
8,cancel the alarm on the timer,timer par alarm cancel kare <EOS>,timer par alarm cancel kare
9,where is traffic the heaviest,sabse zyada bhaari traffic kahan par hai <EOS>,sabse zyada bhaari traffic kaha hai
10,play in new york today,aaj new york me today ' s bajao <EOS>,aaj new york me play kare
11,hva lane restriction times,hva lane ki restriction times karte hai <EOS>,hva lane ki restriction times
12,play silverstein ' s latest album,silverstein ka latest album bajao <EOS>,silverstein ka latest album bajao
13,on july 16th activate an alarm,july 16th ko alarm activate kare <EOS>,july 16th ko alarm activate kare
14,remind me daily to not eat chocolate  .,mujhe daily chocolate nahi khareedne ke liye yaad dilaye <EOS>,mujhe daily chocolate nahi khareedne ke liye yaad dilaye
15,is it raining outside  ?,kya bahar baarish ho rahi hai  ? <EOS>,kya bahar barish ho rahi hai  ?
16,delete all my past reminders  .,mere sarey past reminders delete kare <EOS>,mere sarey past reminders delete kare
17,save this artist please,please is artist ke artist ko save karo <EOS>,please is artist ko save karo
18,lets send a video message to katie,katie ko ek video message bhejo <EOS>,katie ko ek video message bhejo
19,please delete the reminder about our soccer match,please hamare soccer match ke reminder ko delete karden <EOS>,please hamare soccer match ke reminder ko delete karden
20,reset my timer  .,mere timer ko reset kare <EOS>,mere timer ko reset kare
21,what is the weather in brussels,brussels me mausam kaisa hai <EOS>,brussels me mausam kaisa hai
22,what is the weather alert,mausam kaisa me hai <EOS>,mausam ki alert kya hai
23,when is my alarm going off next,mera agla alarm kab band hoga <EOS>,agla mera alarm kab band hoga
24,change timer,timer timer ko badlein <EOS>,timer badlo
25,record stopwatch time,time it zyada time record karo <EOS>,stopwatch time record karo
26,tell me what the weather will be like,muje bataiye ki mausam kaisa rahega <EOS>,muje bataiye ki mausam kaisa rahega
27,change my weekday alarms to 4 pm,mere weekday alarms ko 4 pm tak badle <EOS>,mere weekday alarms ko 4 pm tak badle
28,play the top 10 songs of 1990,1990 ke top 10 songs bajao <EOS>,1990 ke top 10 songs bajao
29,how is the traffic between philadelphia and pittsburgh,philadelphia aur pittsburgh ke beech kaisa hai <EOS>,philadelphia aur pittsburgh ke beech ka traffic kaisa hai
30,make a timer go for 10 minutes  .,10 minutes ke liye timer banaye <EOS>,10 minutes ke liye timer banaye
31,are there any wrecks on 285 today,kya aaj 285 par koi wrecks hai <EOS>,kya aaj 285 par koi wrecks hai
32,is it sunny today  ?,kya aaj dhoop hai  ? <EOS>,kya aj dhoop hai  ?
33,how long will it be raining,kitne percent tak baarish horahi hai <EOS>,kitne samay tak baarish horahi hai
34,whats the weather tomorrow,kal ka mousam kaisa hone wala hai <EOS>,kal ka mousam kaisa hai
35,21 pilot concerts next week,agle hafte 21 pilot ke concerts hone wale hai <EOS>,agle hafte 21 pilot ke concerts
36,please set a new alarm  .,please ek naya alarm set kare  . <EOS>,please ek naya alarm set kardo  .
37,set the chronos,chronos set karen jo hai  . <EOS>,chronos set karen
38,what is there to do in seattle this week,is week seattle mei kya karne ke liye hai <EOS>,is week seattle mei kya karne ke liye hai
39,delete my meeting reminder today,aaj mere meeting ke reminder ko delete karo <EOS>,aaj mere meeting ke reminder ko delete karo
40,"popular dj near dallas , ga","dallas , ga ke paas popular dj , naye text","dallas , ga ke paas popular dj"
41,when will it rain this month,is mahine barish kab hogi <EOS>,is mahine baarish kab hogi
42,will i see the sun today,kya mai aj suraj dekh sakta hoon <EOS>,kya mai aj suraj dekh sakta hoon
43,set an alarm,alarm set kare <EOS>,alarm set kare
